,City,County,Country,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population,Unnamed: 17,Lifted Date,lat,lng
152,Jacksonville,Duval,US,903889,1178.0,957755.0,1256.0,4/3/2020,14.5,57.9,30.1,5.0,0.4,0.1,2.9,3.6,123480.0,,,30.3322,-81.6749
165,Jieyang,Guangdong,CN,5877025,2900.0,,,,,,,,,,,,,,,23.528858,116.36415900000001
166,Jinan,Shandong,CN,5307818,1700.0,,,2/5/2020,,,,,,,,,,,,36.668333000000004,116.997222
167,Kunming,Yunnan,CN,4406978,14000.0,,,2/5/2020,,,,,,,,,,,,25.038889,102.718333
168,Lanzhou,Gansu,CN,3056424,25000.0,,,2/7/2020,,,,,,,,,,,,36.057006,103.83986800000001
169,Las Vegas,Clark,US,644644,4709.0,2266715.0,287.0,4/1/2020,14.0,54.8,12.4,10.4,0.7,0.8,14.9,6.1,301845.0,,,35.6011,-105.2206
171,Lhasa,Tibet,CN,330000,1377.0,,,,,,,,,,,,,,,29.65,91.1
172,Little Rock,Pulsaki,US,197881,1673.0,391911.0,515.0,,16.7,54.4,36.9,2.4,0.4,0.1,3.3,2.6,56988.0,,,34.7255,-92.358
175,Los Angeles,Los Angeles,US,3990456,8484.0,10039107.0,2473.0,3/19/2020,14.2,48.6,8.2,15.0,0.7,0.3,22.4,4.9,1299277.0,,,26.4947,-97.7863
177,Madison,Dane,US,258054,3280.0,546695.0,456.0,3/27/2020,10.8,91.9,5.3,6.5,0.3,0.0,2.8,3.0,67689.0,,,43.0827,-89.3923
199,Manhattan,New York,US,1628706,69467.5,1628706.0,69467.5,3/22/2020,15.6,55.3,14.8,13.1,0.5,0.1,11.8,4.5,257362.0,,,40.7834,-73.9662
203,Memphis,Shelby,US,650618,2056.0,937165.0,1228.0,3/24/2020,21.7,37.3,54.0,2.7,0.2,0.1,3.9,1.9,118566.0,,,27.5435,-82.5607
211,Miami,Miami-Dade,US,470914,12599.0,2716940.0,1431.0,3/26/2020,16.0,75.1,17.2,1.5,0.2,0.0,3.4,2.5,423353.0,,,25.7839,-80.2102
216,Milwaukee,Milwaukee,US,592025,6186.0,945726.0,3924.0,3/25/2020,19.1,57.8,26.9,4.6,0.8,0.0,6.4,3.6,123013.0,,,43.0642,-87.9673
217,Nanchang,Jiangxi,CN,3559958,11000.0,,,2/5/2020,,,,,,,,,,,,28.683333,115.88333300000001
218,Nanjing,Jiangsu,CN,8745666,3183.0,,,2/4/2020,,,,,,,,,,,,32.061667,118.777778
219,Nanning,Guangxi,CN,4417600,850.0,,,2/5/2020,,,,,,,,,,,,22.816667000000002,108.316667
220,Nashville,Davidson,US,669053,1388.0,694144.0,1377.0,3/23/2020,15.4,60.1,27.3,3.9,0.3,0.1,5.3,3.1,79891.0,,,35.9693,-77.9552
229,Ningbo,Zhejiang,CN,4065501,4782.0,,,2/4/2020,,,,,,,,,,,,29.878186,121.549453
230,Oakland,Alameda,US,429082,7514.0,1671329.0,2262.0,3/19/2020,9.0,39.6,10.4,31.4,0.6,0.8,10.8,6.4,215917.0,,,28.5536,-81.6358
245,Omaha,Douglas,US,468262,3356.0,571327.0,1741.0,,11.6,73.6,11.0,4.3,0.8,0.1,6.7,3.4,68170.0,,,33.182,-94.7402
249,Philadelphia,Philadelphia,US,1584138,11683.0,1584064.0,11824.0,3/23/2020,24.3,38.8,41.9,7.7,0.5,0.1,7.5,3.5,207563.0,,,35.6791,-84.3998
253,Phoenix,Maricopa,US,1660272,3120.0,4485414.0,487.0,3/31/2020,12.3,69.4,5.9,4.3,2.2,0.2,13.8,4.1,615277.0,,,43.2316,-76.2961
257,Portland,Multnomah,US,653115,4793.0,812855.0,1886.0,3/25/2020,12.0,73.7,5.9,8.0,1.0,0.6,5.6,5.2,100763.0,,,27.8913,-97.328
268,Providence,Providence,US,179335,9740.0,638931.0,1558.0,3/28/2020,16.1,67.8,9.7,4.6,0.8,0.1,11.8,5.1,93384.0,,,41.823,-71.4187
272,Qingdao,Shandong,CN,5579264,9400.0,,,2/5/2020,,,,,,,,,,,,36.066049,120.36939299999999
273,Qinhuangdao,Hebei,CN,1252400,9800.0,,,,,,,,,,,,,,,,
274,Qiqihar,Heilongjiang,CN,1481637,950.0,,,,,,,,,,,,,,,47.34088,123.960448
275,Queens,Queens,US,253858,20907.0,253858.0,20907.0,3/22/2020,11.6,35.9,18.5,26.4,0.7,0.1,13.4,5.0,340656.0,,,40.7498,-73.7976
276,Raleigh,Wake,US,469298,3163.0,1111761.0,1331.0,3/30/2020,8.4,63.5,20.3,7.8,0.5,0.1,4.9,3.0,113852.0,,,29.4479,-82.468
281,Richmond,Richmond City,US,228783,3732.0,228783.0,3732.0,4/1/2020,22.3,43.3,47.3,2.3,0.3,0.1,4.1,2.6,27831.0,,,29.5824,-95.7602
294,Sacramento,Sacramento,US,508529,5059.0,1552058.0,1608.0,3/19/2020,14.3,53.5,10.2,16.4,1.0,1.1,10.2,7.5,202207.0,,,32.7917,-105.5723
297,Saint Paul,Ramsey,US,307695,5815.0,550321.0,3620.0,3/27/2020,14.6,63.1,12.7,16.3,0.7,0.1,3.1,4.1,74248.0,,,,
298,Salem,Marion,US,173442,3445.0,347818.0,293.0,3/23/2020,14.5,74.9,1.3,2.3,1.6,1.0,14.3,4.6,50268.0,,,39.2849,-80.5645
318,Salt Lake City,Salt Lake,US,200591,1742.0,11690437.0,15755.0,3/30/2020,9.0,78.3,1.9,4.4,0.9,1.6,9.0,3.8,114930.0,,,40.7774,-111.93
319,San Antonio,Bexar,US,1532233,3238.0,1714773.0,1382.0,3/24/2020,17.2,70.8,8.1,3.0,0.8,0.2,13.2,3.9,223805.0,,,28.3394,-82.2787
323,San Diego,San Diego,US,1425976,4325.0,3338330.0,794.0,3/19/2020,11.5,61.1,5.0,12.2,0.8,0.5,14.6,5.7,439595.0,,,27.7609,-98.2389
325,San Francisco,San Francisco,US,883305,18568.0,883305.0,18568.0,3/19/2020,10.1,46.5,5.1,35.8,0.4,0.4,6.7,5.2,883305.0,,,37.7562,-122.443
326,San Jose,Santa Clara,US,1030119,5777.0,1927852.0,1494.0,3/19/2020,7.3,41.6,2.5,37.9,0.7,0.4,11.7,5.2,246908.0,,,36.0367,-106.1004
330,Seattle,King,US,744955,8405.0,2252782.0,1064.0,3/23/2020,9.2,62.7,6.7,18.9,0.8,0.8,4.4,5.7,274609.0,,,47.6211,-122.3244
331,Shanghai,,CN,26808537,9900.0,,,2/10/2020,,,,,,,,,,,,31.222222,121.458056
332,Shantou,Guangdong,CN,4300741,6200.0,,,,,,,,,,,,,,,23.36814,116.71479
333,Shenyang,Liaoning,CN,7169165,8200.0,,,,,,,,,,,,,,,41.792221999999995,123.432778
334,Shenzhen,Guangdong,CN,12280242,19000.0,,,2/7/2020,,,,,,,,,,,,22.533333,114.13333300000001
335,Shijiazhuang,Hebei,CN,4086057,16000.0,,,2/5/2020,,,,,,,,,,,,38.041389,114.47861100000001
336,Shiyan,Hubei,CN,700900,8500.0,,,1/24/2020,,,,,,,,,,,3/25/2020,32.6475,110.778056
