,City,Country,Date,Specie
5084,Saint-Étienne,FR,2020-02-25,o3
5085,Saint-Étienne,FR,2020-03-16,pm25
5088,Saint-Étienne,FR,2020-02-25,no2
5091,Metz,FR,2020-01-26,o3
5095,Metz,FR,2020-01-26,no2
5102,Strasbourg,FR,2020-01-26,o3
5110,Jeonju,KR,2020-03-15,o3
5124,Seoul,KR,2020-03-12,o3
5133,Seoul,KR,2020-02-16,co
5136,Busan,KR,2020-03-10,o3
5142,Sejong,KR,2020-03-10,o3
5147,Sejong,KR,2020-03-10,no2
5156,Ulsan,KR,2020-03-10,o3
5164,Yeosu,KR,2020-01-30,o3
5169,Yeosu,KR,2020-01-24,so2
5172,Gwangju,KR,2020-03-10,o3
5181,Seongnam-si,KR,2020-01-25,o3
5193,Seongnam-si,KR,2020-02-23,co
5196,Daejeon,KR,2020-03-10,o3
5201,Daejeon,KR,2020-03-10,no2
5209,Daejeon,KR,2020-02-23,co
5212,Pohang,KR,2020-02-14,o3
5218,Pohang,KR,2020-03-09,co
5221,Changwon,KR,2020-03-10,o3
5228,Suwon,KR,2020-03-10,o3
5232,Suwon,KR,2020-03-10,no2
5238,Suwon,KR,2020-02-23,co
5241,Cheongju-si,KR,2020-03-10,o3
5246,Cheongju-si,KR,2020-02-29,no2
5256,Chuncheon,KR,2020-03-10,o3
5262,Chuncheon,KR,2020-01-25,no2
5270,Chuncheon,KR,2020-02-23,co
5273,Daegu,KR,2020-03-10,o3
5276,Daegu,KR,2020-02-29,no2
5283,Daegu,KR,2020-02-18,co
5287,Jeju City,KR,2020-03-15,o3
5297,Incheon,KR,2020-03-10,o3
5305,Incheon,KR,2020-02-23,co
5308,Suncheon,KR,2020-01-30,o3
5310,Suncheon,KR,2020-01-09,so2
5320,Andong,KR,2020-03-10,o3
5332,Andong,KR,2020-01-07,so2
5336,Andong,KR,2020-03-04,co
5340,Bologna,IT,2020-02-24,o3
5343,Bologna,IT,2020-02-26,pm25
5347,Bologna,IT,2020-03-14,no2
5349,Bologna,IT,2020-02-28,pm10
5352,Livorno,IT,2020-03-10,no2
5353,Trieste,IT,2020-02-19,so2
5357,Modena,IT,2020-02-04,o3
5358,Modena,IT,2020-03-15,o3
5361,Modena,IT,2020-02-27,pm25
5364,Modena,IT,2020-01-19,no2
5365,Modena,IT,2020-03-19,no2
5367,Modena,IT,2020-02-28,pm10
5372,Prato,IT,2020-03-20,no2
5375,Florence,IT,2020-03-15,no2
5380,Florence,IT,2020-02-24,so2
5383,Naples,IT,2020-02-25,o3
5384,Naples,IT,2020-03-21,no2
5390,Naples,IT,2020-03-06,so2
5396,Rome,IT,2020-02-25,o3
5400,Rome,IT,2020-03-01,no2
5405,Turin,IT,2020-02-28,pm25
5410,Milan,IT,2020-02-22,o3
5413,Milan,IT,2020-02-27,pm25
5418,Milan,IT,2020-02-27,pm10
5425,Brescia,IT,2020-02-22,o3
5430,Brescia,IT,2020-03-20,no2
5439,Parma,IT,2020-02-04,o3
5440,Parma,IT,2020-03-15,o3
5443,Parma,IT,2020-02-29,pm25
5447,Parma,IT,2020-02-29,pm10
5450,São José dos Campos,BR,2020-01-02,o3
5460,Vitória,BR,2020-02-10,so2
5467,São Paulo,BR,2020-02-23,co
5468,Chelyabinsk,RU,2020-02-25,o3
5469,Saint Petersburg,RU,2020-03-11,o3
5470,Krasnoyarsk,RU,2020-03-07,no2
5478,Tel Aviv,IL,2020-03-18,o3
5480,Tel Aviv,IL,2020-03-13,no2
5481,Tel Aviv,IL,2020-01-02,pm10
5482,Tel Aviv,IL,2020-02-03,pm10
5486,Haifa,IL,2020-02-07,o3
5489,Haifa,IL,2020-03-13,no2
5495,Haifa,IL,2020-02-06,co
5499,Jerusalem,IL,2020-02-10,o3
5500,Jerusalem,IL,2020-03-20,no2
5504,Ashdod,IL,2020-03-17,o3
5508,Ashdod,IL,2020-03-17,no2
5511,Ashdod,IL,2020-01-27,so2
5513,Netanya,IL,2020-02-21,o3
5516,Netanya,IL,2020-03-13,no2
5519,Netanya,IL,2020-01-03,co
5522,Ashkelon,IL,2020-02-29,o3
5526,Ashkelon,IL,2020-03-10,no2
5529,Ashkelon,IL,2020-01-30,so2
5548,Lima,PE,2020-03-17,pm25
5561,Lima,PE,2020-03-29,so2
5567,Hamilton,CA,2020-02-11,o3
5570,Calgary,CA,2020-02-29,no2
5573,Calgary,CA,2020-03-10,co
5580,Halifax,CA,2020-02-18,o3
5585,Kitchener,CA,2020-01-27,o3
5593,Edmonton,CA,2020-03-20,co
5605,Mississauga,CA,2020-02-11,o3
5625,Victoria,CA,2020-02-05,so2
5626,Victoria,CA,2020-03-31,so2
5628,Montréal,CA,2020-02-16,o3
5632,Toronto,CA,2020-02-06,o3
5636,Ottawa,CA,2020-02-16,o3
5642,London,CA,2020-02-03,o3
5651,Edinburgh,GB,2020-02-10,o3
5652,Edinburgh,GB,2020-03-26,no2
5657,Norwich,GB,2020-01-26,o3
5661,Norwich,GB,2020-03-21,pm10
5673,Belfast,GB,2020-03-11,o3
5676,Belfast,GB,2020-03-12,no2
5681,Belfast,GB,2020-02-04,co
5684,Coventry,GB,2020-01-27,o3
5688,Coventry,GB,2020-02-01,no2
5692,Leeds,GB,2020-01-28,o3
5695,Leeds,GB,2020-01-27,no2
5700,Leeds,GB,2020-02-05,so2
5701,Leeds,GB,2020-03-26,so2
5706,Leeds,GB,2020-01-13,co
5709,Cardiff,GB,2020-01-27,o3
5714,Cardiff,GB,2020-01-27,no2
5718,Cardiff,GB,2020-01-22,so2
5719,Cardiff,GB,2020-03-22,so2
5725,Bristol,GB,2020-01-02,o3
5728,Bristol,GB,2020-02-01,no2
5734,Bristol,GB,2020-01-24,so2
5735,Bristol,GB,2020-03-23,so2
5740,Birmingham,GB,2020-01-02,o3
5743,Birmingham,GB,2020-02-03,so2
5745,Sheffield,GB,2020-01-02,o3
5749,Newport,GB,2020-01-27,o3
5754,Newport,GB,2020-01-24,so2
5755,Newport,GB,2020-03-23,so2
5760,Leicester,GB,2020-02-02,o3
5767,Manchester,GB,2020-01-28,o3
5776,Manchester,GB,2020-03-26,so2
5777,Reading,GB,2020-01-30,o3
5792,Preston,GB,2020-01-28,o3
5795,Preston,GB,2020-01-28,no2
5799,Swansea,GB,2020-01-27,o3
5802,Swansea,GB,2020-02-01,no2
5804,Swansea,GB,2020-01-10,so2
5808,Swansea,GB,2020-01-14,co
5809,Southend-on-Sea,GB,2020-01-28,o3
