City,County,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population
Seattle,King,744955,8405,2252782,1064,3/23/2020,9.2,62.7,6.7,18.9,0.8,0.8,4.4,5.7,274609
Springfield,Greene,168122,1900,283086,420,3/24/2020,15.5,89,3.4,2.2,0.7,0.1,1.2,3.3,291923
Staten Island,Richmond,476143,8030.3,476143,8030.3,3/22/2020,11.7,69,10.9,9.9,0.3,1,6.7,3.1,73325
Tallahassee,Leon,193551,1901,293582,440,3/25/2020,20.7,60.3,31.6,3.7,0.3,0.1,1.4,2.7,35700
The Bronx,Bronx,1418207,32903.6,1418207,32903.6,3/22/2020,27.3,26.3,35.5,4,1.3,0.1,27.2,5.6,174470
Tucson,Pima,545975,2299,1047279,113,3/31/2020,16.2,71.6,3.8,3.2,3.4,0.2,13.6,4.2,190252
Washington D. C. ,District of Columbia,702455,11148,702455,11148,3/30/2020,16.1,41.9,44.9,4.3,0.4,0.1,5.1,3.4,81712
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
