,County,Country,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population,Unnamed: 17,Lifted Date,lat,lng,Date,Specie,City
43,Guangdong,CN,8220207,8600,,,2/9/2020,,,,,,,,,,,,23.048889,113.744722,2/20/2020,no2,Dongguan
44,Guangdong,CN,8220207,8600,,,2/9/2020,,,,,,,,,,,,23.048889,113.744722,1/16/2020,pm10,Dongguan
45,Guangdong,CN,8220207,8600,,,2/9/2020,,,,,,,,,,,,23.048889,113.744722,1/26/2020,co,Dongguan
46,El Paso,US,682669,2660,839238,830,3/24/2020,20.5,80.4,3.8,1.3,0.8,0.2,10.8,2.7,97464,,,31.77,-106.5,3/21/2020,o3,El Paso
47,Tarrant,US,895008,2491,2102515,2433,3/24/2020,12.1,61.8,17.1,5.7,0.6,0.2,11.1,3.6,216591,,,32.77,-97.31,,,Fort Worth
48,Guangdong,CN,7303434,4800,,,2/8/2020,,,,,,,,,,,,23.026771,113.131483,1/6/2020,pm25,Foshan
49,Guangdong,CN,7303434,4800,,,2/8/2020,,,,,,,,,,,,23.026771,113.131483,1/16/2020,no2,Foshan
50,Guangdong,CN,7303434,4800,,,2/8/2020,,,,,,,,,,,,23.026771,113.131483,1/16/2020,pm10,Foshan
51,Guangdong,CN,7303434,4800,,,2/8/2020,,,,,,,,,,,,23.026771,113.131483,1/16/2020,so2,Foshan
52,Guangdong,CN,7303434,4800,,,2/8/2020,,,,,,,,,,,,23.026771,113.131483,1/26/2020,co,Foshan
53,Fresno,US,530093,4563,999101,167,3/19/2020,21.3,52.7,5.1,10.3,1.6,0.2,25.1,5,114438,,,36.746841,-119.772591,2/15/2020,o3,Fresno
54,Fresno,US,530093,4563,999101,167,3/19/2020,21.3,52.7,5.1,10.3,1.6,0.2,25.1,5,114438,,,36.746841,-119.772591,3/6/2020,pm25,Fresno
55,Fresno,US,530093,4563,999101,167,3/19/2020,21.3,52.7,5.1,10.3,1.6,0.2,25.1,5,114438,,,36.746841,-119.772591,3/6/2020,no2,Fresno
56,Fresno,US,530093,4563,999101,167,3/19/2020,21.3,52.7,5.1,10.3,1.6,0.2,25.1,5,114438,,,36.746841,-119.772591,3/6/2020,pm10,Fresno
57,Fresno,US,530093,4563,999101,167,3/19/2020,21.3,52.7,5.1,10.3,1.6,0.2,25.1,5,114438,,,36.746841,-119.772591,3/6/2020,co,Fresno
58,Liaoning,CN,1307200,500,,,,,,,,,,,,,,,41.855833,123.923333,1/26/2020,o3,Fushun
59,Liaoning,CN,1307200,500,,,,,,,,,,,,,,,41.855833,123.923333,1/31/2020,pm25,Fushun
60,Liaoning,CN,1307200,500,,,,,,,,,,,,,,,41.855833,123.923333,1/21/2020,no2,Fushun
61,Liaoning,CN,1307200,500,,,,,,,,,,,,,,,41.855833,123.923333,1/31/2020,so2,Fushun
62,Fujian,CN,5400000,11250,,,2/4/2020,,,,,,,,,,,,26.061389,119.306111,1/26/2020,no2,Fuzhou
63,Fujian,CN,5400000,11250,,,2/4/2020,,,,,,,,,,,,26.061389,119.306111,3/6/2020,no2,Fuzhou
64,Guangdong,CN,13189556,8893,,,2/7/2020,,,,,,,,,,,,23.116667,113.25,1/6/2020,pm25,Guangzhou
65,Guangdong,CN,13189556,8893,,,2/7/2020,,,,,,,,,,,,23.116667,113.25,1/16/2020,pm10,Guangzhou
66,Guangdong,CN,13189556,8893,,,2/7/2020,,,,,,,,,,,,23.116667,113.25,1/11/2020,so2,Guangzhou
67,Guangdong,CN,13189556,8893,,,2/7/2020,,,,,,,,,,,,23.116667,113.25,1/26/2020,co,Guangzhou
