,County,Country,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population,Unnamed: 17,Lifted Date,lat,lng,Date,Specie,City
179,San Diego,US,1425976,4325,3338330,794,3/19/2020,11.5,61.1,5,12.2,0.8,0.5,14.6,5.7,439595,,,32.715736,-117.161087,,,San Diego
180,San Francisco,US,883305,18568,883305,18568,3/19/2020,10.1,46.5,5.1,35.8,0.4,0.4,6.7,5.2,883305,,,37.733795,-122.446747,3/1/2020,o3,San Francisco
181,San Francisco,US,883305,18568,883305,18568,3/19/2020,10.1,46.5,5.1,35.8,0.4,0.4,6.7,5.2,883305,,,37.733795,-122.446747,3/1/2020,no2,San Francisco
182,San Francisco,US,883305,18568,883305,18568,3/19/2020,10.1,46.5,5.1,35.8,0.4,0.4,6.7,5.2,883305,,,37.733795,-122.446747,3/11/2020,co,San Francisco
183,Santa Clara,US,1030119,5777,1927852,1494,3/19/2020,7.3,41.6,2.5,37.9,0.7,0.4,11.7,5.2,246908,,,37.34,-121.9,2/25/2020,o3,San Jose
184,Santa Clara,US,1030119,5777,1927852,1494,3/19/2020,7.3,41.6,2.5,37.9,0.7,0.4,11.7,5.2,246908,,,37.34,-121.9,3/1/2020,no2,San Jose
185,Santa Clara,US,1030119,5777,1927852,1494,3/19/2020,7.3,41.6,2.5,37.9,0.7,0.4,11.7,5.2,246908,,,37.34,-121.9,3/1/2020,co,San Jose
186,King,US,744955,8405,2252782,1064,3/23/2020,9.2,62.7,6.7,18.9,0.8,0.8,4.4,5.7,274609,,,47.608013,-122.335167,,,Seattle
187,,CN,26808537,9900,,,2/10/2020,,,,,,,,,,,,31.222222,121.458056,1/21/2020,o3,Shanghai
188,,CN,26808537,9900,,,2/10/2020,,,,,,,,,,,,31.222222,121.458056,1/21/2020,no2,Shanghai
189,Guangdong,CN,4300741,6200,,,,,,,,,,,,,,,23.36814,116.71479,1/26/2020,no2,Shantou
190,Guangdong,CN,4300741,6200,,,,,,,,,,,,,,,23.36814,116.71479,2/25/2020,no2,Shantou
191,Liaoning,CN,7169165,8200,,,,,,,,,,,,,,,41.792222,123.432778,1/21/2020,o3,Shenyang
192,Liaoning,CN,7169165,8200,,,,,,,,,,,,,,,41.792222,123.432778,1/31/2020,so2,Shenyang
193,Guangdong,CN,12280242,19000,,,2/7/2020,,,,,,,,,,,,22.533333,114.133333,1/21/2020,pm25,Shenzhen
194,Guangdong,CN,12280242,19000,,,2/7/2020,,,,,,,,,,,,22.533333,114.133333,1/16/2020,pm10,Shenzhen
195,Hebei,CN,4086057,16000,,,2/5/2020,,,,,,,,,,,,38.041389,114.478611,1/26/2020,o3,Shijiazhuang
196,Hebei,CN,4086057,16000,,,2/5/2020,,,,,,,,,,,,38.041389,114.478611,1/26/2020,no2,Shijiazhuang
197,Hebei,CN,4086057,16000,,,2/5/2020,,,,,,,,,,,,38.041389,114.478611,2/25/2020,co,Shijiazhuang
198,Hubei,CN,700900,8500,,,1/24/2020,,,,,,,,,,,3/25/2020,32.6475,110.778056,2/5/2020,pm25,Shiyan
199,Hubei,CN,700900,8500,,,1/24/2020,,,,,,,,,,,3/25/2020,32.6475,110.778056,1/26/2020,no2,Shiyan
200,Hubei,CN,700900,8500,,,1/24/2020,,,,,,,,,,,3/25/2020,32.6475,110.778056,3/16/2020,no2,Shiyan
201,Hubei,CN,700900,8500,,,1/24/2020,,,,,,,,,,,3/25/2020,32.6475,110.778056,1/21/2020,so2,Shiyan
202,Hubei,CN,700900,8500,,,1/24/2020,,,,,,,,,,,3/25/2020,32.6475,110.778056,2/25/2020,co,Shiyan
203,Hubei,CN,700900,8500,,,1/24/2020,,,,,,,,,,,3/25/2020,32.6475,110.778056,3/21/2020,co,Shiyan
204,Greene,US,168122,1900,283086,420,3/24/2020,15.5,89,3.4,2.2,0.7,0.1,1.2,3.3,291923,,,37.210388,-93.297256,,,Springfield
205,Richmond,US,476143,8030.3,476143,8030.3,3/22/2020,11.7,69,10.9,9.9,0.3,1,6.7,3.1,73325,,,40.58,-74.15,2/25/2020,o3,Staten Island
206,Jiangsu,CN,7069992,6676,,,2/6/2020,,,,,,,,,,,,33.636111,116.978889,1/21/2020,no2,Suzhou
207,Jiangsu,CN,7069992,6676,,,2/6/2020,,,,,,,,,,,,33.636111,116.978889,3/11/2020,no2,Suzhou
208,Shanxi,CN,3862721,6600,,,,,,,,,,,,,,,37.869444,112.560278,1/21/2020,o3,Taiyuan
209,Shanxi,CN,3862721,6600,,,,,,,,,,,,,,,37.869444,112.560278,1/26/2020,no2,Taiyuan
210,Shanxi,CN,3862721,6600,,,,,,,,,,,,,,,37.869444,112.560278,2/25/2020,so2,Taiyuan
211,Shanxi,CN,3862721,6600,,,,,,,,,,,,,,,37.869444,112.560278,3/1/2020,co,Taiyuan
212,Leon,US,193551,1901,293582,440,3/25/2020,20.7,60.3,31.6,3.7,0.3,0.1,1.4,2.7,35700,,,30.455,-84.253334,1/22/2020,so2,Tallahassee
213,Leon,US,193551,1901,293582,440,3/25/2020,20.7,60.3,31.6,3.7,0.3,0.1,1.4,2.7,35700,,,30.455,-84.253334,3/23/2020,co,Tallahassee
214,Bronx,US,1418207,32903.6,1418207,32903.6,3/22/2020,27.3,26.3,35.5,4,1.3,0.1,27.2,5.6,174470,,,40.837048,-73.865433,2/28/2020,o3,The Bronx
215,,CN,13524025,3400,,,2/7/2020,,,,,,,,,,,,39.142222,117.176667,1/26/2020,no2,Tianjin
216,Pima,US,545975,2299,1047279,113,3/31/2020,16.2,71.6,3.8,3.2,3.4,0.2,13.6,4.2,190252,,,32.25346,-110.911789,3/1/2020,o3,Tucson
217,Pima,US,545975,2299,1047279,113,3/31/2020,16.2,71.6,3.8,3.2,3.4,0.2,13.6,4.2,190252,,,32.25346,-110.911789,2/22/2020,no2,Tucson
218,Pima,US,545975,2299,1047279,113,3/31/2020,16.2,71.6,3.8,3.2,3.4,0.2,13.6,4.2,190252,,,32.25346,-110.911789,3/2/2020,co,Tucson
219,District of Columbia,US,702455,11148,702455,11148,3/30/2020,16.1,41.9,44.9,4.3,0.4,0.1,5.1,3.4,81712,,,38.889484,-77.035278,,,Washington D. C. 
220,Hubei,CN,8331671,15080,,,1/23/2020,,,,,,,,,,,4/8/2020,30.583333,114.266667,1/24/2020,o3,Wuhan
221,Hubei,CN,8331671,15080,,,1/23/2020,,,,,,,,,,,4/8/2020,30.583333,114.266667,2/7/2020,pm25,Wuhan
222,Hubei,CN,8331671,15080,,,1/23/2020,,,,,,,,,,,4/8/2020,30.583333,114.266667,1/24/2020,no2,Wuhan
223,Hubei,CN,8331671,15080,,,1/23/2020,,,,,,,,,,,4/8/2020,30.583333,114.266667,1/23/2020,pm10,Wuhan
224,Jiangsu,CN,3236811,3700,,,2/3/2020,,,,,,,,,,,,31.568873,120.288573,1/21/2020,no2,Wuxi
225,Fujian,CN,3697107,25150,,,,,,,,,,,,,,,24.479794,118.081869,,,Xiamen
226,Qinghai,CN,1460000,20000,,,,,,,,,,,,,,,36.625541,101.75739,1/21/2020,o3,Xining
227,Qinghai,CN,1460000,20000,,,,,,,,,,,,,,,36.625541,101.75739,1/31/2020,pm25,Xining
228,Qinghai,CN,1460000,20000,,,,,,,,,,,,,,,36.625541,101.75739,1/26/2020,no2,Xining
229,Qinghai,CN,1460000,20000,,,,,,,,,,,,,,,36.625541,101.75739,2/25/2020,so2,Xining
230,Qinghai,CN,1460000,20000,,,,,,,,,,,,,,,36.625541,101.75739,2/15/2020,co,Xining
231,Henan,CN,1047088,6300,,,,,,,,,,,,,,,,,1/23/2020,o3,Xinxiang
232,Henan,CN,1047088,6300,,,,,,,,,,,,,,,,,1/26/2020,no2,Xinxiang
233,Henan,CN,1047088,6300,,,,,,,,,,,,,,,,,1/26/2020,pm10,Xinxiang
234,Shaanxi,CN,7907072,17000,,,2/2/2020,,,,,,,,,,,,34.258333,108.928611,1/21/2020,o3,Xi’an
235,Shaanxi,CN,7907072,17000,,,2/2/2020,,,,,,,,,,,,34.258333,108.928611,2/15/2020,pm25,Xi’an
236,Shaanxi,CN,7907072,17000,,,2/2/2020,,,,,,,,,,,,34.258333,108.928611,1/26/2020,no2,Xi’an
237,Shaanxi,CN,7907072,17000,,,2/2/2020,,,,,,,,,,,,34.258333,108.928611,3/1/2020,no2,Xi’an
238,Shaanxi,CN,7907072,17000,,,2/2/2020,,,,,,,,,,,,34.258333,108.928611,3/1/2020,co,Xi’an
239,Henan,CN,4307488,2200,,,,,,,,,,,,,,,,,1/27/2020,o3,Xuchang
240,Henan,CN,4307488,2200,,,,,,,,,,,,,,,,,2/10/2020,pm25,Xuchang
241,Henan,CN,4307488,2200,,,,,,,,,,,,,,,,,1/26/2020,no2,Xuchang
242,Henan,CN,4307488,2200,,,,,,,,,,,,,,,,,3/1/2020,no2,Xuchang
243,Henan,CN,4307488,2200,,,,,,,,,,,,,,,,,2/5/2020,co,Xuchang
244,Ningxia,CN,2570000,14000,,,1/31/2020,,,,,,,,,,,,38.468056,106.273056,1/26/2020,o3,Yinchuan
245,Ningxia,CN,2570000,14000,,,1/31/2020,,,,,,,,,,,,38.468056,106.273056,2/15/2020,pm25,Yinchuan
246,Ningxia,CN,2570000,14000,,,1/31/2020,,,,,,,,,,,,38.468056,106.273056,1/26/2020,no2,Yinchuan
247,Ningxia,CN,2570000,14000,,,1/31/2020,,,,,,,,,,,,38.468056,106.273056,3/6/2020,co,Yinchuan
248,Guangdong,CN,2367154,780,,,,,,,,,,,,,,,22.928325,112.039539,1/6/2020,pm25,Yunfu
249,Guangdong,CN,2367154,780,,,,,,,,,,,,,,,22.928325,112.039539,1/16/2020,no2,Yunfu
250,Guangdong,CN,2367154,780,,,,,,,,,,,,,,,22.928325,112.039539,1/16/2020,pm10,Yunfu
251,Guangdong,CN,2367154,780,,,,,,,,,,,,,,,22.928325,112.039539,1/3/2020,co,Yunfu
252,Henan,CN,5258362,15000,,,2/4/2020,,,,,,,,,,,,34.683611,113.5325,1/26/2020,o3,Zhengzhou
253,Henan,CN,5258362,15000,,,2/4/2020,,,,,,,,,,,,34.683611,113.5325,1/26/2020,no2,Zhengzhou
254,Henan,CN,5258362,15000,,,2/4/2020,,,,,,,,,,,,34.683611,113.5325,3/1/2020,no2,Zhengzhou
255,Henan,CN,5258362,15000,,,2/4/2020,,,,,,,,,,,,34.683611,113.5325,2/5/2020,co,Zhengzhou
256,Hunan,CN,1145100,3438,,,,,,,,,,,,,,,27.833333,113.15,1/26/2020,o3,Zhuzhou
257,Hunan,CN,1145100,3438,,,,,,,,,,,,,,,27.833333,113.15,2/5/2020,pm25,Zhuzhou
258,Hunan,CN,1145100,3438,,,,,,,,,,,,,,,27.833333,113.15,1/21/2020,no2,Zhuzhou
259,Hunan,CN,1145100,3438,,,,,,,,,,,,,,,27.833333,113.15,1/6/2020,pm10,Zhuzhou
260,Hunan,CN,1145100,3438,,,,,,,,,,,,,,,27.833333,113.15,1/26/2020,co,Zhuzhou
261,Xinjiang,CN,4308738,630,,,,,,,,,,,,,,,43.807347,87.630506,1/26/2020,o3,Ürümqi
262,Xinjiang,CN,4308738,630,,,,,,,,,,,,,,,43.807347,87.630506,2/25/2020,pm25,Ürümqi
263,Xinjiang,CN,4308738,630,,,,,,,,,,,,,,,43.807347,87.630506,2/10/2020,no2,Ürümqi
264,Xinjiang,CN,4308738,630,,,,,,,,,,,,,,,43.807347,87.630506,2/10/2020,pm10,Ürümqi
265,Xinjiang,CN,4308738,630,,,,,,,,,,,,,,,43.807347,87.630506,2/10/2020,co,Ürümqi
