,City,Country,Date,Specie,Unnamed: 0,count,max,median,min,variance,iaqi,AQI
295413,Albuquerque,US,2020-01-07 00:00:00,pm25,295413.0,71,104.0,23.0,3.0,5590.49,74,74
295491,Albuquerque,US,2020-01-07 00:00:00,no2,295491.0,24,41.7,26.0,4.7,1860.33,25,74
294558,Albuquerque,US,2020-01-08 00:00:00,co,294558.0,47,17.9,3.2,0.2,126.71,36,80
294765,Albuquerque,US,2020-01-08 00:00:00,so2,294765.0,13,4.3,1.5,1.5,8.54,1,80
294816,Albuquerque,US,2020-01-08 00:00:00,o3,294816.0,58,36.1,23.3,0.8,959.18,19,80
295055,Albuquerque,US,2020-01-08 00:00:00,pm10,295055.0,72,76.0,24.0,1.0,2845.77,22,80
295477,Albuquerque,US,2020-01-08 00:00:00,pm25,295477.0,72,85.0,26.0,3.0,3746.95,80,80
295535,Albuquerque,US,2020-01-08 00:00:00,no2,295535.0,21,36.2,17.6,5.6,888.18,16,80
294559,Albuquerque,US,2020-01-09 00:00:00,co,294559.0,48,13.9,2.2,0.8,74.2,25,66
294750,Albuquerque,US,2020-01-09 00:00:00,so2,294750.0,11,4.3,1.5,1.5,9.27,1,66
294822,Albuquerque,US,2020-01-09 00:00:00,o3,294822.0,71,34.4,24.1,0.8,1167.66,20,66
295138,Albuquerque,US,2020-01-09 00:00:00,pm10,295138.0,71,76.0,12.0,5.0,3456.27,11,66
295443,Albuquerque,US,2020-01-09 00:00:00,pm25,295443.0,72,81.0,19.0,10.0,2629.64,66,66
295534,Albuquerque,US,2020-01-09 00:00:00,no2,295534.0,24,44.5,18.6,3.8,1788.75,17,66
294564,Albuquerque,US,2020-01-10 00:00:00,co,294564.0,48,4.2,1.5,0.2,4.3,17,59
294721,Albuquerque,US,2020-01-10 00:00:00,so2,294721.0,3,1.5,1.5,1.5,0.0,1,59
294848,Albuquerque,US,2020-01-10 00:00:00,o3,294848.0,59,33.6,27.2,9.6,260.02,23,59
295153,Albuquerque,US,2020-01-10 00:00:00,pm10,295153.0,59,45.0,10.0,3.0,656.72,9,59
295379,Albuquerque,US,2020-01-10 00:00:00,pm25,295379.0,59,48.0,16.0,7.0,481.41,59,59
295562,Albuquerque,US,2020-01-10 00:00:00,no2,295562.0,24,13.9,4.7,2.8,72.34,4,59
294610,Albuquerque,US,2020-01-11 00:00:00,co,294610.0,47,7.0,1.6,0.8,18.6,18,61
294727,Albuquerque,US,2020-01-11 00:00:00,so2,294727.0,7,2.9,1.5,1.5,4.67,1,61
294776,Albuquerque,US,2020-01-11 00:00:00,o3,294776.0,45,33.6,23.3,0.8,936.56,19,61
295070,Albuquerque,US,2020-01-11 00:00:00,pm10,295070.0,48,30.0,10.0,5.0,334.88,9,61
295453,Albuquerque,US,2020-01-11 00:00:00,pm25,295453.0,48,56.0,17.0,10.0,1585.0,61,61
295501,Albuquerque,US,2020-01-11 00:00:00,no2,295501.0,23,35.2,6.5,1.9,1164.37,6,61
294526,Albuquerque,US,2020-01-12 00:00:00,co,294526.0,43,9.8,1.6,0.7,45.36,18,57
294766,Albuquerque,US,2020-01-12 00:00:00,so2,294766.0,4,2.9,1.5,1.5,4.9,1,57
294842,Albuquerque,US,2020-01-12 00:00:00,o3,294842.0,40,36.1,24.1,0.8,751.2,20,57
295144,Albuquerque,US,2020-01-12 00:00:00,pm10,295144.0,48,52.0,9.0,5.0,1410.28,8,57
295377,Albuquerque,US,2020-01-12 00:00:00,pm25,295377.0,48,80.0,15.0,6.0,4084.78,57,57
295500,Albuquerque,US,2020-01-12 00:00:00,no2,295500.0,19,37.1,9.3,1.9,1362.61,8,57
294513,Albuquerque,US,2020-01-13 00:00:00,co,294513.0,41,11.9,3.7,1.3,72.14,42,68
294735,Albuquerque,US,2020-01-13 00:00:00,so2,294735.0,11,2.9,1.5,1.5,4.99,1,68
294803,Albuquerque,US,2020-01-13 00:00:00,o3,294803.0,57,37.6,27.2,0.8,1314.54,23,68
295149,Albuquerque,US,2020-01-13 00:00:00,pm10,295149.0,70,74.0,15.0,5.0,2535.45,14,68
295426,Albuquerque,US,2020-01-13 00:00:00,pm25,295426.0,70,97.0,20.0,6.0,4527.51,68,68
295521,Albuquerque,US,2020-01-13 00:00:00,no2,295521.0,24,38.0,25.1,3.8,1569.24,24,68
294578,Albuquerque,US,2020-01-14 00:00:00,co,294578.0,48,16.0,3.6,0.2,117.35,41,63
294715,Albuquerque,US,2020-01-14 00:00:00,so2,294715.0,15,4.3,1.5,1.5,13.07,1,63
294843,Albuquerque,US,2020-01-14 00:00:00,o3,294843.0,62,37.6,23.3,0.8,1298.43,19,63
295086,Albuquerque,US,2020-01-14 00:00:00,pm10,295086.0,70,90.0,14.0,3.0,4179.34,13,63
295440,Albuquerque,US,2020-01-14 00:00:00,pm25,295440.0,70,79.0,18.0,5.0,4051.51,63,63
295504,Albuquerque,US,2020-01-14 00:00:00,no2,295504.0,24,37.1,22.3,3.8,1463.66,21,63
294537,Albuquerque,US,2020-01-15 00:00:00,co,294537.0,44,11.4,3.2,0.7,71.58,36,66
294748,Albuquerque,US,2020-01-15 00:00:00,so2,294748.0,3,1.5,1.5,1.5,0.0,1,66
294809,Albuquerque,US,2020-01-15 00:00:00,o3,294809.0,67,40.8,22.4,0.8,1411.91,19,66
295130,Albuquerque,US,2020-01-15 00:00:00,pm10,295130.0,71,135.0,19.0,3.0,6298.56,18,66
295434,Albuquerque,US,2020-01-15 00:00:00,pm25,295434.0,71,92.0,19.0,5.0,4997.17,66,66
295584,Albuquerque,US,2020-01-15 00:00:00,no2,295584.0,20,39.9,18.6,4.7,980.04,17,66
294571,Albuquerque,US,2020-01-16 00:00:00,co,294571.0,42,4.6,2.0,0.2,14.89,23,82
294751,Albuquerque,US,2020-01-16 00:00:00,so2,294751.0,3,1.5,1.5,1.5,0.0,1,82
294827,Albuquerque,US,2020-01-16 00:00:00,o3,294827.0,67,31.2,16.8,1.6,628.37,14,82
